Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
De'Aaron Fox,PG,25,SAC,73,73,33.4,9.3,18.2,0.512,1.6,5.0,0.324,7.7,13.2,0.584,0.557,4.7,6.0,0.78,0.5,3.6,4.2,6.1,1.1,0.3,2.5,2.4,25.0,12507.0,De'Aaron Fox,SAC,25.0,190.5,83.91452,Kentucky,USA,2017,1,5,73.0,25.0,4.2,6.1,3.1,0.017,0.111,0.288,0.599,0.281,2022-23
Markelle Fultz,PG,24,ORL,60,60,29.6,5.8,11.3,0.514,0.5,1.5,0.31,5.4,9.9,0.544,0.534,1.9,2.4,0.783,1.2,2.8,3.9,5.7,1.5,0.4,2.3,2.2,14.0,12710.0,Markelle Fultz,ORL,25.0,193.04,94.800728,Washington,USA,2017,1,1,60.0,14.0,3.9,5.7,-3.7,0.038,0.095,0.208,0.564,0.29,2022-23
Wenyen Gabriel,PF,25,LAL,68,2,15.1,2.3,3.8,0.596,0.1,0.5,0.278,2.1,3.3,0.647,0.615,0.8,1.2,0.619,1.7,2.5,4.2,0.5,0.4,0.5,0.7,2.1,5.5,12422.0,Wenyen Gabriel,LAL,26.0,205.74,92.98636,Kentucky,South Sudan,Undrafted,Undrafted,Undrafted,68.0,5.5,4.2,0.5,-0.2,0.111,0.152,0.135,0.626,0.049,2022-23
Daniel Gafford,C,24,WAS,78,47,20.6,3.7,5.1,0.732,0.0,0.0,0.0,3.7,5.1,0.732,0.732,1.6,2.4,0.679,2.1,3.5,5.6,1.1,0.4,1.3,1.1,2.4,9.0,12562.0,Daniel Gafford,WAS,24.0,208.28,106.140528,Arkansas,USA,2019,2,38,78.0,9.0,5.6,1.1,-2.5,0.103,0.159,0.146,0.7390000000000001,0.074,2022-23
Darius Garland,PG,23,CLE,69,69,35.5,7.6,16.4,0.462,2.4,6.0,0.41,5.1,10.4,0.492,0.537,4.0,4.7,0.863,0.4,2.3,2.7,7.8,1.2,0.1,2.9,2.1,21.6,12500.0,Darius Garland,CLE,23.0,185.42,87.089664,Vanderbilt,USA,2019,1,5,69.0,21.6,2.7,7.8,8.0,0.012,0.067,0.262,0.5870000000000001,0.3279999999999999,2022-23
Usman Garuba,PF,20,HOU,75,1,12.9,1.1,2.4,0.486,0.3,0.8,0.407,0.8,1.6,0.525,0.554,0.4,0.6,0.617,1.6,2.5,4.1,0.9,0.6,0.4,0.6,1.8,3.0,12389.0,Usman Garuba,HOU,21.0,203.2,103.872568,None,Spain,2021,1,23,75.0,3.0,4.1,0.9,-12.2,0.11,0.1939999999999999,0.099,0.569,0.096,2022-23
Luka Garza,C,24,MIN,28,0,8.7,2.3,4.1,0.543,0.5,1.4,0.359,1.8,2.8,0.636,0.603,1.5,1.9,0.788,1.2,1.1,2.3,0.6,0.1,0.1,0.5,1.5,6.5,12741.0,Luka Garza,MIN,24.0,208.28,110.222856,Iowa,USA,2021,2,52,28.0,6.5,2.3,0.6,2.0,0.13,0.128,0.245,0.652,0.103,2022-23
Rudy Gay,PF,36,UTA,56,0,14.6,1.9,5.1,0.38,0.6,2.3,0.254,1.4,2.8,0.484,0.437,0.8,0.9,0.857,0.6,2.3,2.9,1.0,0.3,0.3,0.7,1.2,5.2,12333.0,Rudy Gay,UTA,36.0,203.2,113.398,Connecticut,USA,2006,1,8,56.0,5.2,2.9,1.0,2.9,0.038,0.148,0.174,0.473,0.095,2022-23
Paul George,SG,32,LAC,56,56,34.6,8.2,17.9,0.457,2.8,7.6,0.371,5.4,10.3,0.521,0.536,4.6,5.3,0.871,0.8,5.3,6.1,5.1,1.5,0.4,3.1,2.8,23.8,12315.0,Paul George,LAC,33.0,203.2,99.79024,Fresno State,USA,2010,1,10,56.0,23.8,6.1,5.1,4.0,0.025,0.153,0.294,0.588,0.237,2022-23
Taj Gibson,C,37,WAS,49,2,9.8,1.3,2.6,0.52,0.2,0.5,0.333,1.2,2.1,0.564,0.552,0.6,0.9,0.714,0.7,1.2,1.9,0.7,0.3,0.2,0.5,1.7,3.4,12449.0,Taj Gibson,WAS,38.0,205.74,105.233344,Southern California,USA,2009,1,26,49.0,3.4,1.9,0.7,-1.1,0.068,0.143,0.151,0.585,0.094,2022-23
Josh Giddey,SG,20,OKC,76,76,31.1,7.1,14.7,0.482,1.0,3.1,0.325,6.1,11.6,0.524,0.516,1.4,1.9,0.731,1.9,5.9,7.9,6.2,0.8,0.4,2.8,1.9,16.6,12811.0,Josh Giddey,OKC,20.0,203.2,97.975872,None,Australia,2021,1,6,76.0,16.6,7.9,6.2,-2.2,0.0579999999999999,0.1889999999999999,0.239,0.5329999999999999,0.293,2022-23
Shai Gilgeous-Alexander,PG,24,OKC,68,68,35.5,10.4,20.3,0.51,0.9,2.5,0.345,9.5,17.8,0.533,0.531,9.8,10.9,0.905,0.9,4.0,4.8,5.5,1.6,1.0,2.8,2.8,31.4,12442.0,Shai Gilgeous-Alexander,OKC,24.0,198.12,88.45044,Kentucky,Canada,2018,1,11,68.0,31.4,4.8,5.5,2.7,0.023,0.109,0.318,0.626,0.249,2022-23
Anthony Gill,PF,30,WAS,59,8,10.6,1.2,2.2,0.538,0.1,0.5,0.138,1.1,1.7,0.65,0.553,0.8,1.1,0.731,0.6,1.1,1.7,0.6,0.1,0.2,0.3,1.2,3.3,12565.0,Anthony Gill,WAS,30.0,203.2,104.32616,Virginia,USA,Undrafted,Undrafted,Undrafted,59.0,3.3,1.7,0.6,-0.8,0.0579999999999999,0.1,0.1159999999999999,0.604,0.074,2022-23
Jacob Gilyard,PG,24,MEM,1,0,41.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,7.0,3.0,0.0,2.0,3.0,3.0,12786.0,Jacob Gilyard,MEM,24.0,175.26,72.57472,Richmond,USA,Undrafted,Undrafted,Undrafted,1.0,3.0,4.0,7.0,-14.9,0.0,0.095,0.052,0.5,0.212,2022-23
Rudy Gobert,C,30,MIN,70,70,30.7,5.1,7.8,0.659,0.0,0.0,0.0,5.1,7.8,0.663,0.659,3.1,4.9,0.644,3.3,8.3,11.6,1.2,0.8,1.4,1.7,3.0,13.4,12332.0,Rudy Gobert,MIN,31.0,215.9,117.026736,None,France,2013,1,27,70.0,13.4,11.6,1.2,0.4,0.111,0.26,0.161,0.675,0.0579999999999999,2022-23
Jordan Goodwin,PG,24,WAS,62,7,17.8,2.5,5.7,0.448,0.6,1.9,0.322,1.9,3.8,0.511,0.501,0.9,1.1,0.768,0.9,2.4,3.3,2.7,0.9,0.4,0.9,1.5,6.6,12803.0,Jordan Goodwin,WAS,24.0,190.5,90.7184,St. Louis,USA,Undrafted,Undrafted,Undrafted,62.0,6.6,3.3,2.7,-4.5,0.05,0.131,0.165,0.531,0.22,2022-23
Aaron Gordon,PF,27,DEN,68,68,30.2,6.3,11.2,0.564,0.9,2.5,0.347,5.4,8.6,0.628,0.603,2.8,4.6,0.608,2.4,4.1,6.6,3.0,0.8,0.8,1.4,1.9,16.3,12591.0,Aaron Gordon,DEN,27.0,203.2,106.59412,Arizona,USA,2014,1,4,68.0,16.3,6.6,3.0,12.1,0.086,0.136,0.206,0.617,0.129,2022-23
Eric Gordon,SG,34,TOT,69,58,28.5,4.2,9.5,0.446,1.9,5.2,0.371,2.3,4.3,0.535,0.547,2.1,2.5,0.821,0.2,1.7,1.9,2.7,0.6,0.4,1.5,1.1,12.4,12547.0,Eric Gordon,LAC,34.0,190.5,97.52228,Indiana,USA,2008,1,7,69.0,12.4,1.9,2.7,-5.8,0.008,0.059,0.171,0.5870000000000001,0.133,2022-23
Eric Gordon,SG,34,HOU,47,47,30.2,4.5,10.2,0.439,1.8,5.2,0.347,2.7,5.0,0.536,0.528,2.3,2.9,0.815,0.3,1.8,2.1,2.9,0.6,0.4,1.8,1.0,13.1,12547.0,Eric Gordon,LAC,34.0,190.5,97.52228,Indiana,USA,2008,1,7,69.0,12.4,1.9,2.7,-5.8,0.008,0.059,0.171,0.5870000000000001,0.133,2022-23
Eric Gordon,SG,34,LAC,22,11,24.9,3.7,8.0,0.463,2.1,5.0,0.423,1.5,2.9,0.531,0.597,1.5,1.7,0.842,0.2,1.5,1.7,2.1,0.6,0.4,1.0,1.5,11.0,12547.0,Eric Gordon,LAC,34.0,190.5,97.52228,Indiana,USA,2008,1,7,69.0,12.4,1.9,2.7,-5.8,0.008,0.059,0.171,0.5870000000000001,0.133,2022-23
Devonte' Graham,PG,27,TOT,73,8,18.3,2.2,5.9,0.374,1.6,4.6,0.352,0.6,1.3,0.452,0.512,1.3,1.8,0.748,0.3,1.4,1.7,2.7,0.6,0.2,0.7,1.1,7.4,12482.0,Devonte' Graham,SAS,28.0,185.42,88.45044,Kansas,USA,2018,2,34,73.0,7.4,1.7,2.7,-6.2,0.013,0.081,0.165,0.552,0.207,2022-23
Devonte' Graham,PG,27,NOP,53,0,15.3,1.6,4.4,0.368,1.2,3.6,0.347,0.4,0.8,0.463,0.511,0.8,1.1,0.746,0.2,1.1,1.4,2.2,0.6,0.2,0.5,0.9,5.3,12482.0,Devonte' Graham,SAS,28.0,185.42,88.45044,Kansas,USA,2018,2,34,73.0,7.4,1.7,2.7,-6.2,0.013,0.081,0.165,0.552,0.207,2022-23
Devonte' Graham,PG,27,SAS,20,8,26.4,3.8,10.0,0.38,2.7,7.4,0.358,1.2,2.6,0.442,0.513,2.7,3.6,0.75,0.4,2.2,2.5,4.0,0.8,0.3,1.3,1.6,13.0,12482.0,Devonte' Graham,SAS,28.0,185.42,88.45044,Kansas,USA,2018,2,34,73.0,7.4,1.7,2.7,-6.2,0.013,0.081,0.165,0.552,0.207,2022-23
Jerami Grant,PF,28,POR,63,63,35.7,6.9,14.5,0.475,2.3,5.7,0.401,4.6,8.8,0.523,0.554,4.4,5.4,0.813,0.8,3.7,4.5,2.4,0.8,0.8,1.8,2.4,20.5,12829.0,Jerami Grant,POR,29.0,203.2,95.25432,Syracuse,USA,2014,2,39,63.0,20.5,4.5,2.4,-1.2,0.025,0.104,0.2269999999999999,0.606,0.103,2022-23
RaiQuan Gray,PF,23,BRK,1,0,35.0,6.0,12.0,0.5,2.0,5.0,0.4,4.0,7.0,0.571,0.583,2.0,2.0,1.0,3.0,6.0,9.0,7.0,0.0,1.0,4.0,5.0,16.0,12310.0,RaiQuan Gray,BKN,23.0,200.66,122.016248,Florida State,USA,2021,2,59,1.0,16.0,9.0,7.0,-17.5,0.075,0.176,0.205,0.621,0.35,2022-23
A.J. Green,SG,23,MIL,35,1,9.9,1.5,3.6,0.424,1.3,3.0,0.419,0.3,0.6,0.45,0.6,0.1,0.1,1.0,0.2,1.1,1.3,0.6,0.2,0.0,0.3,0.9,4.4,,,,,,,,,,,,,,,,,,,,,,
Danny Green,SG,35,TOT,11,0,12.5,2.0,4.5,0.449,1.5,3.4,0.432,0.5,1.1,0.5,0.612,0.1,0.1,1.0,0.3,1.0,1.3,0.5,0.5,0.3,0.9,1.5,5.5,12495.0,Danny Green,CLE,36.0,198.12,97.52228,North Carolina,USA,2009,2,46,11.0,5.5,1.3,0.5,-5.5,0.023,0.08,0.187,0.617,0.065,2022-23
Danny Green,SG,35,MEM,3,0,14.3,1.0,3.7,0.273,1.0,2.7,0.375,0.0,1.0,0.0,0.409,0.0,0.0,0.0,0.3,1.0,1.3,0.7,0.3,0.0,1.0,2.0,3.0,12495.0,Danny Green,CLE,36.0,198.12,97.52228,North Carolina,USA,2009,2,46,11.0,5.5,1.3,0.5,-5.5,0.023,0.08,0.187,0.617,0.065,2022-23
Danny Green,SG,35,CLE,8,0,11.9,2.4,4.8,0.5,1.6,3.6,0.448,0.8,1.1,0.667,0.671,0.1,0.1,1.0,0.3,1.0,1.3,0.5,0.6,0.4,0.9,1.3,6.5,12495.0,Danny Green,CLE,36.0,198.12,97.52228,North Carolina,USA,2009,2,46,11.0,5.5,1.3,0.5,-5.5,0.023,0.08,0.187,0.617,0.065,2022-23
Draymond Green,PF,32,GSW,73,73,31.5,3.4,6.5,0.527,0.5,1.8,0.305,2.9,4.7,0.612,0.57,1.1,1.5,0.713,0.9,6.3,7.2,6.8,1.0,0.8,2.8,3.1,8.5,12515.0,Draymond Green,GSW,33.0,198.12,104.32616,Michigan State,USA,2012,2,35,73.0,8.5,7.2,6.8,7.0,0.0289999999999999,0.185,0.129,0.5920000000000001,0.268,2022-23
Jalen Green,SG,20,HOU,76,76,34.2,7.4,17.9,0.416,2.5,7.3,0.338,5.0,10.6,0.471,0.485,4.8,6.1,0.786,0.6,3.2,3.7,3.7,0.8,0.2,2.6,1.7,22.1,12772.0,Jalen Green,HOU,21.0,193.04,84.368112,None,USA,2021,1,2,76.0,22.1,3.7,3.7,-8.7,0.016,0.093,0.2739999999999999,0.5379999999999999,0.1689999999999999,2022-23
JaMychal Green,PF,32,GSW,57,1,14.0,2.4,4.4,0.54,0.7,1.9,0.378,1.6,2.5,0.667,0.623,0.9,1.2,0.776,1.3,2.3,3.6,0.9,0.4,0.4,0.9,1.8,6.4,12843.0,JaMychal Green,GSW,33.0,205.74,102.965384,Alabama,USA,Undrafted,Undrafted,Undrafted,57.0,6.4,3.6,0.9,-8.2,0.087,0.1639999999999999,0.1689999999999999,0.65,0.094,2022-23
Javonte Green,SG,29,CHI,32,1,15.0,1.9,3.4,0.565,0.4,1.1,0.371,1.5,2.3,0.658,0.625,0.9,1.4,0.667,0.8,1.9,2.8,0.7,0.8,0.7,0.6,1.6,5.2,12784.0,Javonte Green,CHI,29.0,195.58,92.98636,Radford,USA,Undrafted,Undrafted,Undrafted,32.0,5.2,2.8,0.7,5.9,0.057,0.119,0.128,0.6459999999999999,0.062,2022-23
Jeff Green,PF,36,DEN,56,4,19.5,2.9,5.9,0.488,0.5,1.9,0.288,2.3,4.0,0.58,0.534,1.6,2.1,0.744,0.7,1.9,2.6,1.2,0.3,0.3,0.8,1.8,7.8,12828.0,Jeff Green,DEN,36.0,203.2,106.59412,Georgetown,USA,2007,1,5,56.0,7.8,2.6,1.2,-8.0,0.035,0.096,0.1669999999999999,0.5760000000000001,0.095,2022-23
